match_id,batsman,batting_team,bowling_team,venue,date,runs,balls,fours,sixes,strike_rate,runs_next_match,prev_runs,last_5_avg,last_10_avg,career_avg
598018,A Ashish Reddy,Sunrisers Hyderabad,Pune Warriors,Maharashtra Cricket Association Stadium,2013-04-17,19,15,0,1,126.66666666666666,7.0,4.0,8.8,7.9,7.9
598021,A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2013-04-19,7,7,1,0,100.0,36.0,19.0,11.2,8.8,8.909090909090908
598030,A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013-04-25,36,16,2,3,225.0,14.0,7.0,9.8,9.2,8.75
598032,A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,2013-04-27,14,11,1,0,127.27272727272727,5.0,36.0,16.4,12.0,10.846153846153847
598044,A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2013-05-04,5,7,1,0,71.42857142857143,13.0,14.0,16.0,12.4,11.071428571428571
829727,A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-16,13,9,0,1,144.44444444444443,15.0,5.0,16.2,12.5,10.666666666666666
829731,A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-18,15,8,1,1,187.5,22.0,13.0,15.0,13.1,10.8125
829759,A Ashish Reddy,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2015-04-27,22,8,1,2,275.0,6.0,15.0,16.6,13.2,11.058823529411764
829773,A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,6,6,1,0,100.0,17.0,22.0,13.8,15.1,11.666666666666666
829815,A Ashish Reddy,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2015-05-17,17,15,0,1,113.33333333333333,32.0,6.0,12.2,14.1,11.368421052631579
980907,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-04-12,32,18,2,3,177.77777777777777,13.0,17.0,14.6,15.4,11.65
980915,A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2016-04-16,13,9,0,1,144.44444444444443,2.0,32.0,18.4,16.7,12.619047619047619
1304109,A Badoni,Lucknow Super Giants,Rajasthan Royals,"Brabourne Stadium, Mumbai",2022-05-15,0,1,0,0,0.0,18.0,8.0,10.8,16.1,16.1
1359477,A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-01,18,9,1,2,200.0,23.0,0.0,8.2,10.7,14.636363636363637
1359480,A Badoni,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2023-04-03,23,19,0,0,121.05263157894737,30.0,18.0,9.0,10.6,14.916666666666666
1359489,A Badoni,Lucknow Super Giants,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2023-04-10,30,29,4,0,103.44827586206897,5.0,23.0,12.8,11.0,15.538461538461538
1359495,A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-15,5,7,0,0,71.42857142857143,1.0,30.0,15.8,13.0,16.571428571428573
1359500,A Badoni,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2023-04-19,1,4,0,0,25.0,8.0,5.0,15.2,13.0,15.8
1359504,A Badoni,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-04-22,8,6,0,0,133.33333333333331,43.0,1.0,15.4,11.8,14.875
1359512,A Badoni,Lucknow Super Giants,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-28,43,25,3,3,172.0,4.0,8.0,13.4,11.2,14.470588235294118
1359517,A Badoni,Lucknow Super Giants,Royal Challengers Bengaluru,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-01,4,11,0,0,36.36363636363637,59.0,43.0,17.4,15.1,16.055555555555557
1359519,A Badoni,Lucknow Super Giants,Chennai Super Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-05-03,59,35,2,4,168.57142857142858,21.0,4.0,12.2,14.0,15.421052631578947
1359525,A Badoni,Lucknow Super Giants,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023-05-07,21,12,1,2,175.0,25.0,59.0,23.0,19.1,17.6
1359542,A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2023-05-20,25,22,2,1,113.63636363636364,1.0,21.0,27.0,21.2,17.761904761904763
1370351,A Badoni,Lucknow Super Giants,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai",2023-05-24,1,7,0,0,14.285714285714285,1.0,25.0,30.4,21.9,18.09090909090909
1422122,A Badoni,Lucknow Super Giants,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2024-03-24,1,5,0,0,20.0,8.0,1.0,22.0,19.7,17.347826086956523
1422129,A Badoni,Lucknow Super Giants,Punjab Kings,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-03-30,8,10,0,0,80.0,0.0,1.0,21.4,16.8,16.666666666666668
1422133,A Badoni,Lucknow Super Giants,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024-04-02,0,3,0,0,0.0,20.0,8.0,11.2,17.1,16.32
1422139,A Badoni,Lucknow Super Giants,Gujarat Titans,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-07,20,12,3,0,166.66666666666669,55.0,0.0,7.0,17.0,15.692307692307692
1426264,A Badoni,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-12,55,38,5,1,144.73684210526315,29.0,20.0,6.0,18.2,15.851851851851851
1426266,A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Eden Gardens, Kolkata",2024-04-14,29,27,2,1,107.40740740740742,18.0,55.0,16.8,19.4,17.25
1426282,A Badoni,Lucknow Super Giants,Rajasthan Royals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-27,18,15,1,0,120.0,6.0,29.0,22.4,21.9,17.655172413793103
1426286,A Badoni,Lucknow Super Giants,Mumbai Indians,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-30,6,6,1,0,100.0,15.0,18.0,24.4,17.8,17.666666666666668
1426292,A Badoni,Lucknow Super Giants,Kolkata Knight Riders,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-05-05,15,13,0,1,115.38461538461537,55.0,6.0,25.6,16.3,17.29032258064516
1426295,A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024-05-08,55,32,9,0,171.875,6.0,15.0,24.6,15.3,17.21875
1426302,A Badoni,Lucknow Super Giants,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2024-05-14,6,9,0,0,66.66666666666666,22.0,55.0,24.6,20.7,18.363636363636363
419128,A Kumble,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2010-03-25,1,1,0,0,100.0,1.0,1.0,3.0,2.9,2.9
419140,A Kumble,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,2010-04-04,1,1,0,0,100.0,2.0,1.0,3.0,2.7,2.727272727272727
419151,A Kumble,Royal Challengers Bangalore,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",2010-04-12,2,4,0,0,50.0,1.0,1.0,2.2,2.8,2.5833333333333335
419157,A Kumble,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,2010-04-17,1,3,0,0,33.33333333333333,1.0,2.0,2.4,2.2,2.5384615384615383
1359509,A Manohar,Gujarat Titans,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",2023-04-25,42,21,3,3,200.0,26.0,3.0,9.2,15.2,15.2
1359518,A Manohar,Gujarat Titans,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",2023-05-02,26,36,0,1,72.22222222222221,2.0,42.0,17.2,17.9,17.636363636363637
1359531,A Manohar,Gujarat Titans,Mumbai Indians,"Wankhede Stadium, Mumbai",2023-05-12,2,3,0,0,66.66666666666666,1.0,26.0,22.4,20.4,18.333333333333332
1426262,A Manohar,Gujarat Titans,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2024-04-10,1,2,0,0,50.0,8.0,2.0,20.0,17.1,17.076923076923077
419120,A Mishra,Delhi Daredevils,Deccan Chargers,Barabati Stadium,2010-03-21,0,1,0,0,0.0,4.0,6.0,4.8,7.2,7.2
419144,A Mishra,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,2010-04-07,4,6,0,0,66.66666666666666,10.0,0.0,4.4,6.8,6.545454545454546
419149,A Mishra,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,2010-04-11,10,12,0,0,83.33333333333334,12.0,4.0,2.6,4.1,6.333333333333333
419152,A Mishra,Delhi Daredevils,Mumbai Indians,Brabourne Stadium,2010-04-13,12,17,0,0,70.58823529411765,4.0,10.0,4.6,4.9,6.615384615384615
419160,A Mishra,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,2010-04-18,4,10,0,0,40.0,2.0,12.0,6.4,6.1,7.0
501199,A Mishra,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",2011-04-09,2,2,0,0,100.0,12.0,4.0,6.0,5.4,6.8
501203,A Mishra,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,2011-04-11,12,6,1,1,200.0,0.0,2.0,6.4,5.4,6.5
501212,A Mishra,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",2011-04-16,0,1,0,0,0.0,25.0,12.0,8.0,5.3,6.823529411764706
501224,A Mishra,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2011-04-24,25,19,4,0,131.57894736842107,0.0,0.0,6.0,5.3,6.444444444444445
