match_id,bowler,bowling_team,batting_team,venue,date,wickets,balls,runs_conceded,economy,wickets_next_match,prev_wickets,last_5_wkts,last_10_wkts,career_wkt_avg
598004,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",2013-04-07,1,6,7,7.0,0.0,1.0,1.2,1.2,1.2
598048,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2013-04-09,0,6,12,12.0,1.0,1.0,1.0,1.1,1.1818181818181819
598013,A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2013-04-14,1,12,15,7.5,0.0,0.0,1.0,1.0,1.0833333333333333
598030,A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2013-04-25,0,5,14,16.799999999999997,1.0,1.0,1.2,1.0,1.0769230769230769
829719,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2015-04-13,1,6,11,11.0,0.0,0.0,0.6,0.9,1.0
829727,A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-16,0,6,5,5.0,1.0,1.0,0.6,0.9,1.0
829731,A Ashish Reddy,Sunrisers Hyderabad,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2015-04-18,1,13,14,6.461538461538462,2.0,0.0,0.4,0.7,0.9375
829773,A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",2015-05-02,2,12,19,9.5,0.0,1.0,0.6,0.8,0.9411764705882353
980907,A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium,2016-04-12,0,11,25,13.636363636363637,1.0,2.0,0.8,1.0,1.0
598047,A Chandila,Rajasthan Royals,Pune Warriors,Sawai Mansingh Stadium,2013-05-05,0,12,23,11.5,1.0,0.0,1.0,1.0,1.0
392182,A Kumble,Royal Challengers Bangalore,Rajasthan Royals,Newlands,2009-04-18,5,19,5,1.5789473684210527,0.0,0.0,1.4,0.8,0.8
392185,A Kumble,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,2009-04-20,0,25,21,5.04,0.0,5.0,2.2,1.3,1.1818181818181819
392188,A Kumble,Royal Challengers Bangalore,Deccan Chargers,Newlands,2009-04-22,0,24,39,9.75,1.0,0.0,1.8,1.3,1.0833333333333333
392191,A Kumble,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,2009-04-24,1,24,19,4.75,0.0,0.0,1.2,1.3,1.0
392194,A Kumble,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,2009-04-26,0,24,22,5.5,2.0,1.0,1.2,1.3,1.0
392199,A Kumble,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,2009-04-29,2,24,16,4.0,2.0,0.0,1.2,1.3,0.9333333333333333
392204,A Kumble,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,2009-05-01,2,24,25,6.25,0.0,2.0,0.6,1.4,1.0
392208,A Kumble,Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,2009-05-03,0,12,18,9.0,1.0,2.0,1.0,1.4,1.0588235294117647
392213,A Kumble,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,2009-05-07,1,12,12,6.0,0.0,0.0,1.0,1.1,1.0
392218,A Kumble,Royal Challengers Bangalore,Mumbai Indians,St George's Park,2009-05-10,0,24,32,8.0,1.0,1.0,1.0,1.1,1.0
392221,A Kumble,Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,2009-05-12,1,24,28,7.0,2.0,0.0,1.0,1.1,0.95
392224,A Kumble,Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,2009-05-14,2,24,12,3.0,2.0,1.0,0.8,0.7,0.9523809523809523
392232,A Kumble,Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,2009-05-19,2,26,22,5.076923076923077,2.0,2.0,0.8,0.9,1.0
392236,A Kumble,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,2009-05-21,2,24,23,5.75,0.0,2.0,1.2,1.1,1.0434782608695652
392238,A Kumble,Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,2009-05-23,0,24,30,7.5,4.0,2.0,1.4,1.2,1.0833333333333333
392239,A Kumble,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,2009-05-24,4,24,16,4.0,0.0,0.0,1.4,1.2,1.04
419109,A Kumble,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,2010-03-14,0,24,19,4.75,0.0,4.0,2.0,1.4,1.1538461538461537
419112,A Kumble,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,2010-03-16,0,25,39,9.36,5.0,0.0,1.6,1.2,1.1111111111111112
419115,A Kumble,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,2010-03-18,5,23,9,2.347826086956522,1.0,0.0,1.2,1.2,1.0714285714285714
419119,A Kumble,Royal Challengers Bangalore,Mumbai Indians,Brabourne Stadium,2010-03-20,1,24,18,4.5,1.0,5.0,1.8,1.6,1.206896551724138
419123,A Kumble,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,2010-03-23,1,24,15,3.75,0.0,1.0,2.0,1.7,1.2
419128,A Kumble,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,2010-03-25,0,24,30,7.5,1.0,1.0,1.4,1.7,1.1935483870967742
419133,A Kumble,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2010-03-31,1,24,16,4.0,1.0,0.0,1.4,1.5,1.15625
